val_loss,val_acc,epoch,step,train_loss,trai_acc
0.4051058292388916,0.8197042346000671,35,17639,,
,,35,17639,0.4033263623714447,0.8199052810668945
0.4009839594364166,0.8196287155151367,36,18129,,
,,36,18129,0.40247365832328796,0.8200938105583191
0.3989889919757843,0.8197807669639587,37,18619,,
,,37,18619,0.4006604254245758,0.820138692855835
0.39765670895576477,0.8200951218605042,38,19109,,
,,38,19109,0.3996395170688629,0.8206327557563782
0.40080398321151733,0.8198570609092712,39,19599,,
,,39,19599,0.39983150362968445,0.8205670714378357
0.39591333270072937,0.8204002976417542,40,20089,,
,,40,20089,0.39921271800994873,0.8205010890960693
0.395199716091156,0.8200952410697937,41,20579,,
,,41,20579,0.39730843901634216,0.8207469582557678
0.39534348249435425,0.8199620246887207,42,21069,,
,,42,21069,0.3967372179031372,0.8209021687507629
0.3950529992580414,0.8202381134033203,43,21559,,
,,43,21559,0.3963748812675476,0.8210000991821289
0.39600059390068054,0.8208855986595154,44,22049,,
,,44,22049,0.39615845680236816,0.821093738079071
0.395921915769577,0.8206093907356262,45,22539,,
,,45,22539,0.3949485421180725,0.8213882446289062
0.3931063413619995,0.8210476040840149,46,23029,,
,,46,23029,0.3954576253890991,0.8212571144104004
0.3930588662624359,0.8210476040840149,47,23519,,
,,47,23519,0.3943530023097992,0.8213598728179932
0.39603641629219055,0.8199430108070374,48,24009,,
,,48,24009,0.39373183250427246,0.8214860558509827
0.3939256966114044,0.8216382265090942,49,24499,,
,,49,24499,0.3927208185195923,0.8219388723373413
0.3917907774448395,0.820923924446106,50,24989,,
,,50,24989,0.3927507996559143,0.8214285969734192
0.3926815092563629,0.8205906748771667,51,25479,,
,,51,25479,0.39199477434158325,0.8220608830451965
0.39111587405204773,0.8203141093254089,52,25969,,
,,52,25969,0.3911074101924896,0.8222531676292419
0.3907034993171692,0.8211715221405029,53,26459,,
,,53,26459,0.39127805829048157,0.8219753503799438
0.39150503277778625,0.8208096027374268,54,26949,,
,,54,26949,0.39072170853614807,0.8218573927879333
0.392103374004364,0.8205806612968445,55,27439,,
,,55,27439,0.3901660144329071,0.8223549723625183
